Question,Answer,Source,,,,
How do I disenroll in the Exceptional Family Member Program?,"You will remain enrolled for as long as the chronic needs exists. Reasons to disenroll from EFMP include change in medical condition (resolved/no longer exists), or in cases of death, divorce, change in custody, etc. Please contact the EFMP office for the proper paperwork to disenroll the family member. The medical care provider must address why all previous annotated diagnoses are resolved. For all other cases, supporting documentation such as death certificate, dependency status or divorce decree must be included.",Walter Reed,,,,
How do I apply for a military neurosurgery residency?,The first step is contacting your service-specific specialty leader. Each branch of the military has a consultant to the Surgeon General. These individuals are your points of contact for training and pursuing a career in neurosurgery. It is also HIGHLY recommended that you interview with the WRNMMC Neurosurgery Department. You can contact the NCC Neurosurgery Program Director to learn how.,Walter Reed,,,,
Who can apply for residency at NCC?,Any active duty USU/HPSP student in good standing in either allopathic or osteopathic accredited medical schools.,Walter Reed,,,,
How many neurosurgery residents train across the military per year?,The NCC has one position. There are other VA-sponsored programs at the University of Florida (1) and the University of Texas Health Science Center at San Antonio (1). Full civilian deferments are given on a year-to-year basis depending on the needs of each service.,Walter Reed,,,,
"Do I have to visit and interview at NCC, Bethesda?","It is HIGHLY recommended that you rotate and interview at the NCC program. We are unique in that we are the only active duty military program. The core faculty at WRNMMC/NCC include senior Neurosurgeons within the Army and Navy, and may provide recommendations to train in VA-DoD sponsored programs and/or civilian programs (i.e. ERAS)",Walter Reed,,,,
How many Residents does the NCC program take per year?,"Currently, the NCC Program trains one resident per year and is service indiscriminate.",Walter Reed,,,,
What makes the NCC unique?,"The NCC training program is designed to train both a competent and technically proficient neurosurgeon and military officer. Our military-unique curriculum includes courses and didactics that are important during a military career. Each graduate is expected to be completely independent, reliable, and capable of providing excellent and efficient neurosurgical care in the most austere environments.",Walter Reed,,,,
When does the ‘military match’ happen?,The results of the JSGMEB are published at midnight (0000) 15 December each year. This is earlier than the ‘civilian’ match which occurs in the third week of March each year.,Walter Reed,,,,
Are you age 50 or above?,"Beginning at age 50, both men and women should follow one of these five screening options: African American men/women should begin at age 45.",Walter Reed,,,,
How can I check the hospital’s operating status?,"WRNMMC follows the operating status determined by the Office of Personnel Management.  There are many ways you can check the hospital’s operating status, including:
Online:
www.opm.gov
walterreed.tricare.mil
twitter.com/WRBethesda
facebook.com/WRBethesda",Walter Reed,,,,
When will changes to the hospital’s operating status be published?,"Delayed arrivals and full-day closures are updated by 5:00am on our public website and social media sites:
 walterreed.tricare.mil
 twitter.com/WRBethesda
 facebook.com/WRBethesda
Early closures will be posted to these sites as soon as the decision has been made. In the event of inclement weather, please check these sites before leaving your home.",Walter Reed,,,,
"If the hospital is CLOSED, what does that mean for my scheduled outpatient appointment or surgery on that day?","All outpatient appointments and scheduled surgeries will be rescheduled. Clinic staff will contact you to reschedule for a time that is most convenient for you.
Please note, our emergency and inpatient services are always available, regardless of the weather or operating status. These services include:

Emergency Room
Inpatient Care
MICC/Labor and Delivery
Main Operating Room (scheduled Wounded Warrior and Emergency cases only)
Laboratory, Radiology, Pharmacy (for inpatients and emergencies only)
Inpatient Chemotherapy and Radiation Therapy
Inpatient Dialysis
Inpatient Nutrition and Main Dining Room
Patient Administration
Command Duty Office",Walter Reed,,,,
