Question,Answer,Source,,,,
How do I disenroll in the Exceptional Family Member Program?,"You will remain enrolled for as long as the chronic needs exists. Reasons to disenroll from EFMP include change in medical condition (resolved/no longer exists), or in cases of death, divorce, change in custody, etc. Please contact the EFMP office for the proper paperwork to disenroll the family member. The medical care provider must address why all previous annotated diagnoses are resolved. For all other cases, supporting documentation such as death certificate, dependency status or divorce decree must be included.",Walter Reed,,,,
How do I apply for a military neurosurgery residency?,The first step is contacting your service-specific specialty leader. Each branch of the military has a consultant to the Surgeon General. These individuals are your points of contact for training and pursuing a career in neurosurgery. It is also HIGHLY recommended that you interview with the WRNMMC Neurosurgery Department. You can contact the NCC Neurosurgery Program Director to learn how.,Walter Reed,,,,
Who can apply for residency at NCC?,Any active duty USU/HPSP student in good standing in either allopathic or osteopathic accredited medical schools.,Walter Reed,,,,
How many neurosurgery residents train across the military per year?,The NCC has one position. There are other VA-sponsored programs at the University of Florida (1) and the University of Texas Health Science Center at San Antonio (1). Full civilian deferments are given on a year-to-year basis depending on the needs of each service.,Walter Reed,,,,
"Do I have to visit and interview at NCC, Bethesda?","It is HIGHLY recommended that you rotate and interview at the NCC program. We are unique in that we are the only active duty military program. The core faculty at WRNMMC/NCC include senior Neurosurgeons within the Army and Navy, and may provide recommendations to train in VA-DoD sponsored programs and/or civilian programs (i.e. ERAS)",Walter Reed,,,,
How many Residents does the NCC program take per year?,"Currently, the NCC Program trains one resident per year and is service indiscriminate.",Walter Reed,,,,
What makes the NCC unique?,"The NCC training program is designed to train both a competent and technically proficient neurosurgeon and military officer. Our military-unique curriculum includes courses and didactics that are important during a military career. Each graduate is expected to be completely independent, reliable, and capable of providing excellent and efficient neurosurgical care in the most austere environments.",Walter Reed,,,,
When does the ‘military match’ happen?,The results of the JSGMEB are published at midnight (0000) 15 December each year. This is earlier than the ‘civilian’ match which occurs in the third week of March each year.,Walter Reed,,,,
Are you age 50 or above?,"Beginning at age 50, both men and women should follow one of these five screening options: African American men/women should begin at age 45.",Walter Reed,,,,
How can I check the hospital’s operating status?,"WRNMMC follows the operating status determined by the Office of Personnel Management.  There are many ways you can check the hospital’s operating status, including:
Online:
www.opm.gov
walterreed.tricare.mil
twitter.com/WRBethesda
facebook.com/WRBethesda",Walter Reed,,,,
When will changes to the hospital’s operating status be published?,"Delayed arrivals and full-day closures are updated by 5:00am on our public website and social media sites:
 walterreed.tricare.mil
 twitter.com/WRBethesda
 facebook.com/WRBethesda
Early closures will be posted to these sites as soon as the decision has been made. In the event of inclement weather, please check these sites before leaving your home.",Walter Reed,,,,
"If the hospital is CLOSED, what does that mean for my scheduled outpatient appointment or surgery on that day?","All outpatient appointments and scheduled surgeries will be rescheduled. Clinic staff will contact you to reschedule for a time that is most convenient for you.
Please note, our emergency and inpatient services are always available, regardless of the weather or operating status. These services include:

Emergency Room
Inpatient Care
MICC/Labor and Delivery
Main Operating Room (scheduled Wounded Warrior and Emergency cases only)
Laboratory, Radiology, Pharmacy (for inpatients and emergencies only)
Inpatient Chemotherapy and Radiation Therapy
Inpatient Dialysis
Inpatient Nutrition and Main Dining Room
Patient Administration
Command Duty Office",Walter Reed,,,,
"If the hospital has a DELAYED OPENING, what does that mean for my scheduled outpatient appointment or surgery?","For a 1-hour Delayed Opening: All outpatient appointments before 9:00 a.m. will be canceled and rescheduled. Surgeries will take place on time. You are advised to call 301-295-2560 to confirm surgery status before leaving your home.
For a 2-hour Delayed Opening: All outpatient appointments before 10:00 a.m. will be canceled and rescheduled. Surgeries will take place on time. You are advised to call 301-295-2560 to confirm surgery status before leaving your home.",Walter Reed,,,,
When can I expect to be notified if my scheduled appointment has to be rescheduled?,"We will make every effort to notify you at least 24 hours before your scheduled appointment. However, sometimes that may not be possible. You will receive a phone call from clinic staff, the hospital’s automated messaging system, or our mass notification system. Calls from our mass notification system will appear as 301-319-8707 on your caller ID.",Walter Reed,,,,
"My appointment is supposed to be rescheduled due to inclement weather, but I have not received a phone call.  What should I do?","If you haven’t received a phone call, the hospital may not have your current phone number. You can update your phone number 24/7 by calling Patient Administration at 301-295-2126. Once we have reopened, you can call to reschedule your appointment at 855-227-6331 from 6:30 a.m. to 6:00 p.m., Monday through Friday.",Walter Reed,,,,
What if I have an URGENT need and must be seen today?,"You need urgent care when you have a health concern that does not threaten life, limb or eyesight, but needs treatment within 24 hours to prevent a more serious health risk. If you’re unsure if you need urgent care, contact the Nurse Advice Line at MHSNurseAdviceLine.com (web/video chat) or 1-800-TRICARE (874-2273). If you need a referral, the registered nurse will be able to assist you.",Walter Reed,,,,
What if I have an EMERGENCY and must be seen right away?,"An emergency is defined as a sudden, unexpected, serious medical condition or worsening of a condition that poses a threat to life, limb or sight, and requires immediate treatment. If you have a medical emergency, call 911 or go to the nearest emergency room. Please remember that our Emergency Room is always open, regardless of the weather.",Walter Reed,,,,
"Which surgery is best for me, PRK or LASIK?","Both surgeries have excellent outcomes and safety profiles. Each surgery has its own set of potential complications, and clinical selection criteria. In general, the clinical selection criteria are less stringent for PRK than LASIK; the procedure for PRK is easier and quicker compared to LASIK, but the post-operative recovery period for PRK requires more time and is more painful for the first 24-48 hours compared to LASIK. If the outcomes are expected to be similar between PRK and LASIK with respect to your prescription, we will tentatively schedule you for PRK. We will finalize the decision after all the clinical data is evaluated at the pre-operative exam and you have had an opportunity to discuss the procedure with us.",Walter Reed,,,,
How do I apply for refractive surgery at WRNMMC?,Please refer to our Refractive Surgery Center page for more information.,Walter Reed,,,,
How do I apply for a “touch up” if I have had refractive surgery previously?,"As with any surgery, the predictability decreases and the potential for complication increases with subsequent surgery. If you are interested in a “touch up, ” i.e. an enhancement, you should follow the same process under the “How do I apply for refractive surgery at WRNMMC?” Your eye doctor must note the type of refractive surgery you had, and when, on the “Date of Eye Examination” line.

In general, you should not consider an enhancement if you still have any side effects from the initial surgery, you rarely wear glasses or contact lenses to improve your vision, or your vision has not been stable for at least 1 year. Enhancements are typically considered only after at least 1 year has passed since your last refractive surgery.",Walter Reed,,,,
What is the wait time from when I submit the consult until I am scheduled for surgery?,Refractive Surgery is an elective procedure intended to enhance warfighter vision capabilities. Surgery is not guaranteed for everyone. Several factors can influence patient selection. Our average wait time varies from 1 to 3 months.,Walter Reed,,,,
What should I do if I have a non-life-threatening health issue?,"Call or visit your nearest Urgent Care facility if you have a non-life-threatening health issue. If you have a life-threatening health issue, call 911 immediately.",Walter Reed,,,,
What should I do if I have a life-threatening health issue?,"Call 911 immediately to get emergency care if you have a life-threatening health issue or visit Walter Reed National Military Medical Center if it's your nearest hospital. To reach Walter Reed National Military Medical Center Emergency Care, call 301-295-4810.",Walter Reed,,,,
What should I do if I’m still unsure if I need urgent care?,You can speak directly to a health professional using the Military Health System Nurse Advice Line to assist you with your health concern by calling 1-800-TRICARE (874-2273).,Walter Reed,,,,
Does Walter Reed National Military Medical Center provide emergency care services?,Yes. Call 911 if you have a life-threatening health issue. The front desk of the WRNMMC ER can be reached at 301-295-4810.,Walter Reed,,,,
Does Walter Reed National Military Medical Center provide urgent care services?,Yes. Call 301-295-4810.,Walter Reed,,,,
Who should get an additional (second) COVID-19 booster dose?,"On March 29, 2022 the FDA authorized and CDC expanded the eligibility for an additional (second) booster doseOpens to the CDC website for certain individuals who may be at higher risk of severe outcomes from COVID-19, stating:

People ages 12 years and older who are moderately or severely immunocompromised may choose to receive a second booster dose using an mRNA COVID-19 vaccine at least 4 months after the first booster dose
People are considered to be moderately or severely immunocompromised if they have:
Been receiving active cancer treatment for tumors or cancers of the blood
Received an organ transplant and are taking medicine to suppress the immune system
Received a stem cell transplant within the last 2 years or are taking medicine to suppress the immune system
Moderate or severe primary immunodeficiency (such as DiGeorge syndrome, Wiskott-Aldrich syndrome)
Advanced or untreated HIV infection
Active treatment with high-dose corticosteroids or other drugs that may suppress their immune response
Adults ages 50 years and older who are not moderately or severely immunocompromised may choose to receive a second booster dose using an mRNA COVID-19 vaccine at least 4 months after the first booster dose
People ages 18–49 years who are not moderately or severely immunocompromised and who received Janssen COVID-19 Vaccine as both their primary series dose and booster dose may receive a second booster dose using an mRNA COVID-19 vaccine at least 4 months after the first Janssen booster dose",health.mil,,,,
